url,name,state,weather
http://www.nps.gov/abli/planyourvisit/weather.htm,Abraham Lincoln Birthplace National Historical Park,,
http://www.nps.gov/acad/planyourvisit/weather.htm,Acadia National Park,Maine,"Storms called nor'easters can bring pounding surf and heavy rains to Acadia during the winter and early spring.

SpringFoggy; 30-70 F (-1-21 C)

SummerDaytime: 45-90 F (7-32 C)

WinterVariable; 14-35 F (-10-2 C)"
http://www.nps.gov/adam/planyourvisit/weather.htm,Adams National Historical Park,,
http://www.nps.gov/afam/planyourvisit/weather.htm,African American Civil War Memorial National Memorial,,
http://www.nps.gov/afbg/planyourvisit/weather.htm,African Burial Ground National Monument,,
http://www.nps.gov/agfo/planyourvisit/weather.htm,Agate Fossil Beds National Monument,Nebraska,"The weather at Agate Fossil Beds changes with the season.  Summer can be very hot with highs in the upper 90's, sometimes 100 degrees or more.  In the winter the temperatures can plummet to -10 or below.  Winds can make it feel colder and dry you out in winter or summer.  During the summer thunderstorms can build in the afternoon and some become violent.  In the winter, you could experience blizzard conditions.

All that said, there is nothing more beautiful than a pleasant late spring day with the sun is warm and the breeze is refreshing or walking in a snow of huge quiet flakes."
http://www.nps.gov/alka/planyourvisit/weather.htm,Ala Kahakai National Historic Trail,,
http://www.nps.gov/alag/planyourvisit/weather.htm,Alagnak Wild River,Alaska,"Weather in the Bristol Bay area tends to be cool, cloudy, and misty with frequent rain and wind. Day temperatures in the summer range between 50 and 60 degrees Fahrenheit while night temperatures may drop to 40 degrees Fahrenheit. The surface of the Alagnak freezes in the winter, but water continues to flow. Frozen overflow creates thin layers of dangerous ice which pose a hazard for those who attempt winter river travel. Whatever the season, weather conditions may prevent airplanes from flying in, so parties should be prepared for at least one extra day on the river. Wearing layers of clothing makes it easy to regulate your body temperature."
http://www.nps.gov/anch/planyourvisit/weather.htm,Alaska Public Lands ,,
http://www.nps.gov/alca/planyourvisit/weather.htm,Alcatraz Island ,,
http://www.nps.gov/aleu/planyourvisit/weather.htm,Aleutian World War II National Historic Area,Alaska,"The Aleutian Islands are known for unpredictable and stormy weather. Rain, fog, and wind are common. Dress warmly and carry rain gear even in summer. Summer temperatures range from 45 to 65 degrees F. Early summer and fall often have clear sunny days with spectacular views of the surrounding volcanoes."
http://www.nps.gov/alfl/planyourvisit/weather.htm,Alibates Flint Quarries National Monument,Texas,"Texas Panhandle weather can change quickly, so be prepared for varying temperatures and conditions. During the summer months, temperatures can exceed 100 degrees Fahrenheit. Rain storms may sweep across the area quickly; tornadoes, windstorms, and lightning are also possible. Winter months are usually mild, but snowstorms, sleet, and hail can occur. Tours to the quarry sites will be canceled during severe weather conditions."
http://www.nps.gov/alpo/planyourvisit/weather.htm,Allegheny Portage Railroad National Historic Site,,
http://www.nps.gov/amme/planyourvisit/weather.htm,American Memorial Park,,
http://www.nps.gov/amis/planyourvisit/weather.htm,Amistad National Recreation Area,Texas,"The climate at Amistad is semi-arid in moisture and subtropical in temperature. Humidity is more often high than low, with periodic morning fog. Summers are long, hot, and frequently humid; winters are mild and vary between sunny, warm, cloudy, and cool weather.

Nearly 80% of the annual precipitation occurs from April through October. During this period, rainfall is mainly in the form of thunderstorms and heavy downpours often resulting in flash flooding. The small amount of precipitation for November through March usually falls as steady light rain or drizzle. Average annual rainfall is near 19 inches. Rainfall extremes vary from 4.34 inches in 1956 to 37.75 inches in 1914."
http://www.nps.gov/anac/planyourvisit/weather.htm,Anacostia Park,,
