"state","name","url"
"Arizona","Organ Pipe Cactus National Monument","http://www.nps.gov/orpi/planyourvisit/weather.htm"
"Arizona","Saguaro National Park","http://www.nps.gov/sagu/planyourvisit/weather.htm"
"Arizona","Tonto National Monument","http://www.nps.gov/tont/planyourvisit/weather.htm"
"CA,NV","Death Valley National Park","http://www.nps.gov/deva/planyourvisit/weather.htm"
"California","Cabrillo National Monument","http://www.nps.gov/cabr/planyourvisit/weather.htm"
"California","Channel Islands National Park","http://www.nps.gov/chis/planyourvisit/weather.htm"
"California","Eugene O'Neill National Historic Site","http://www.nps.gov/euon/planyourvisit/weather.htm"
"California","John Muir National Historic Site","http://www.nps.gov/jomu/planyourvisit/weather.htm"
"California","Manzanar National Historic Site","http://www.nps.gov/manz/planyourvisit/weather.htm"
"California","Pinnacles National Park","http://www.nps.gov/pinn/planyourvisit/weather.htm"
"California","Redwood National and State Parks","http://www.nps.gov/redw/planyourvisit/weather.htm"
"California","Sequoia & Kings Canyon National Parks","http://www.nps.gov/seki/planyourvisit/weather.htm"
"Florida","Big Cypress National Preserve","http://www.nps.gov/bicy/planyourvisit/weather.htm"
"Florida","Canaveral National Seashore","http://www.nps.gov/cana/planyourvisit/weather.htm"
"Georgia","Chattahoochee River National Recreation Area","http://www.nps.gov/chat/planyourvisit/weather.htm"
"Georgia","Fort Pulaski National Monument","http://www.nps.gov/fopu/planyourvisit/weather.htm"
"Georgia","Jimmy Carter National Historic Site","http://www.nps.gov/jica/planyourvisit/weather.htm"
"Georgia","Martin Luther King Jr National Historic Site","http://www.nps.gov/malu/planyourvisit/weather.htm"
"Idaho","City Of Rocks National Reserve","http://www.nps.gov/ciro/planyourvisit/weather.htm"
"Kansas","Tallgrass Prairie National Preserve","http://www.nps.gov/tapr/planyourvisit/weather.htm"
"KY,TN,VA","Cumberland Gap National Historical Park","http://www.nps.gov/cuga/planyourvisit/weather.htm"
"New Mexico","Gila Cliff Dwellings National Monument","http://www.nps.gov/gicl/planyourvisit/weather.htm"
"Oklahoma","Chickasaw National Recreation Area","http://www.nps.gov/chic/planyourvisit/weather.htm"
"OR,WA","Lewis and Clark National Historical Park","http://www.nps.gov/lewi/planyourvisit/weather.htm"
"Oregon","John Day Fossil Beds National Monument","http://www.nps.gov/joda/planyourvisit/weather.htm"
"South Carolina","Congaree National Park","http://www.nps.gov/cong/planyourvisit/weather.htm"
"Texas","Alibates Flint Quarries National Monument","http://www.nps.gov/alfl/planyourvisit/weather.htm"
"Texas","Amistad National Recreation Area","http://www.nps.gov/amis/planyourvisit/weather.htm"
"Texas","Big Bend National Park","http://www.nps.gov/bibe/planyourvisit/weather.htm"
"Texas","Big Thicket National Preserve","http://www.nps.gov/bith/planyourvisit/weather.htm"
"Texas","Lyndon B Johnson National Historical Park","http://www.nps.gov/lyjo/planyourvisit/weather.htm"
"Texas","Padre Island National Seashore","http://www.nps.gov/pais/planyourvisit/weather.htm"
"Texas","Rio Grande Wild & Scenic River","http://www.nps.gov/rigr/planyourvisit/weather.htm"
"Virginia","Maggie L Walker National Historic Site","http://www.nps.gov/mawa/planyourvisit/weather.htm"
"Washington","Ebey's Landing National Historical Reserve","http://www.nps.gov/ebla/planyourvisit/weather.htm"
"Washington","San Juan Island National Historical Park","http://www.nps.gov/sajh/planyourvisit/weather.htm"
